epoch,training,validation
0,1.5904056310653687,1.6558141708374023
1,1.2636526346206665,1.6556081771850586
2,0.942584502696991,1.3445746898651123
3,0.6911755800247192,1.3798794746398926
4,0.4364113748073578,1.088334083557129
5,0.3501472890377045,1.6938252449035645
6,0.2604988843202591,0.9213463068008423
7,0.09528031051158906,1.1372655630111694
8,0.1431816577911377,1.165126085281372
9,0.08723276257514953,0.9813326597213745
10,0.11626417189836502,0.9846662878990173
11,0.028889502957463266,1.115337610244751
12,0.0936579629778862,0.9255921840667725
13,0.10676129758358002,0.5080054998397827
14,0.19008517898619176,0.6920788288116455
15,0.3000239968299866,0.8597588539123535
16,0.04144644681364298,1.1003854274749756
17,0.08048430513590574,0.6401054859161377
18,0.0418102752417326,1.9718953371047974
19,0.009694251301698386,1.7310093641281128
20,0.1887092818011297,1.548411250114441
21,0.28725978434085847,0.7362056970596313
22,0.08721627444028854,0.31180354952812195
23,0.26130393147468567,0.5840572118759155
24,0.35487675964832305,1.5764089822769165
25,0.23418651521205902,0.0037670135498046875
26,0.2595518887042999,0.00013780593872070312
27,0.03390244841575622,0.7596970200538635
28,0.14399729967117308,0.10512882471084595
29,0.4679673373699188,2.5757105350494385
30,0.3565648928284645,1.7483274936676025
31,0.18887356066697975,1.673947811126709
32,0.768201551400125,1.0735595226287842
33,0.20622225925326348,0.022067606449127197
34,0.2576919883489609,1.3417253494262695
35,0.48487594723701477,3.090208053588867
36,0.1329262673854828,7.0478835105896
37,0.35468578785657884,0.8509286046028137
38,0.09458800125867128,0.0016726255416870117
39,0.15635712373186833,2.0359082221984863
40,0.17420001812279223,1.6529297828674316
41,0.21343207657337188,9.472150802612305
42,0.1297406256198883,4.150424957275391
43,0.1208599016070366,3.8691208362579346
44,0.3887168109416962,5.104313373565674
45,0.2840242236852646,3.624577522277832
46,0.30868460834026334,29.870410919189453
47,0.4789074420928955,6.742586612701416
48,0.22023329585790635,4.298793315887451
49,0.2159774899482727,4.130465030670166
50,0.3458261189982295,3.9051930904388428
51,0.40293221175670624,1.146214485168457
52,0.5190783053636551,1.4688401222229004
53,0.277240626513958,0.9220944046974182
54,0.1880543053150177,0.49181613326072693
55,0.1374257817864418,0.3308185338973999
56,0.25963238775730135,0.4413925111293793
57,0.20624113976955413,0.5947510600090027
58,0.33712121546268464,0.5231596231460571
59,0.20539070209488272,0.7007195353507996
60,0.2721843957901001,2.695136547088623
61,0.31269440054893494,1.3603708744049072
62,0.3916862040758133,4.005175590515137
63,0.23989716451615095,11.007162094116211
64,0.3167666047811508,4.13668155670166
65,0.23809564858675003,2.5333685874938965
66,0.2593041568994522,0.8813859224319458
67,0.2602073311805725,0.05120706558227539
68,0.2717026546597481,0.8363673686981201
69,0.1833151839673519,3.9072139263153076
70,0.1414916157722473,5.515204906463623
71,0.3846970796585083,18.60002899169922
72,0.6665011882781983,16.284664154052734
73,0.5311335980892181,14.065417289733887
74,0.14222534596920014,12.389657974243164
75,0.579139894247055,3.075371742248535
76,0.9457077920436859,3.3963451385498047
77,0.6440519511699676,2.8863449096679688
78,0.12468722760677338,1.302352786064148
79,0.08874502158141695,0.9367464184761047
80,0.4793730556964874,4.746760845184326
81,0.9511415243148804,10.9683837890625
82,0.5840304523706437,6.469293594360352
83,1.1826790511608123,7.329482078552246
84,0.3319109946489334,16.268281936645508
85,0.37810446619987487,37.8965950012207
86,0.8437524437904358,72.48379516601562
87,0.6952163696289062,66.54393005371094
88,1.3855681478977204,59.55082702636719
89,0.7487445116043091,63.18199920654297
90,1.102081871032715,18.068117141723633
91,0.8195927053689956,9.170278549194336
92,0.9177376925945282,36.45307540893555
93,1.187702651321888,16.068344116210938
94,0.6954384684562683,15.458930015563965
95,0.6624401345849037,3.7124252319335938
96,0.49163225293159485,1.4368455410003662
97,0.3232750102877617,1.0177236795425415
98,0.625049501657486,3.832559108734131
99,0.7501480221748352,1.0471363067626953
100,0.582315194606781,3.506432294845581
